product_id,player_name,platform,player_unique_id,profile_unique_id,linked_steam_id,names_count,claimed_pid_count,non_steam_pid_count,ip_hash_count,proxy_hashes,vpn_hashes,hosting_hashes,inconsistency_count,inconsistencies
0002db68724442038c1b446fd2057578,GoodwillGoth,PCVR,76561199044016637,76561199044016637,,4,1,0,14,0,0,0,1,high IP-hash count: 14
0002ded152484f928d2bae933d41c2a6,Vicrose,PCVR,76561198107073540,76561198107073540,,1,1,0,3,0,0,0,0,
0002e0089b5c4bb48e7066fb235bb51d,PartyPants1864.TTV,PCVR,76561198354265005,76561198354265005,,1,1,0,1,0,0,0,0,
0002e195f95640d4a27e28750ba45de4,Silhoucat,PCVR,76561198011766824,76561198011766824,,2,1,0,10,0,0,0,1,high IP-hash count: 10
0002e1ae1d344d639a7d134648962425,Nova,PCVR,76561198082079989,76561198082079989,,1,1,0,5,0,0,0,0,
0002e1fb2e7745d1a984b56fa98bd7c3,Suomynona07,PCVR,76561198153951057,76561198153951057,,2,1,0,7,0,0,0,0,
0002e2657a794e57be9b4391123d6ce8,mistahvir4l,PCVR,76561198865544872,76561198865544872,,7,1,0,31,0,0,0,1,high IP-hash count: 31
0002e2b550ce4c62b8c6b57e69389f84,Cakeee,PCVR,76561198005163013,76561198005163013,,24,1,0,59,10,4,6,2,"high IP-hash count: 59; network risk observations: proxy=10, vpn=4, hosting=6"
0002e3051ceb47718835edb08de6db7b,tom hanks,PCVR,76561198799216200,76561198799216200,,3,1,0,6,0,0,0,1,player/profile current_name mismatch
0002e37879d14bc086ff46c3c2312121,mystyksoldier,PCVR,76561198842921016,76561198842921016,,2,1,0,5,0,0,0,0,
0002e3b97fbd45129716141f2a342c05,Endo,PCVR,76561198111168774,76561198111168774,,1,1,0,12,0,0,0,1,high IP-hash count: 12
0002e41d922845fba2ec0638430f1682,Xela112233,PCVR,76561198112183889,76561198112183889,,7,1,0,21,4,0,4,2,"high IP-hash count: 21; network risk observations: proxy=4, vpn=0, hosting=4"
0002e5ebcb484776926fd4d96388b310,TheKingChava,PCVR,76561199232084792,76561199232084792,,5,1,0,9,0,0,0,1,player/profile current_name mismatch
0002e66a9e0945a68e9a5d2f8f8b4b7c,MrMik1,PCVR,76561198997649807,76561198997649807,,3,1,0,16,0,0,0,1,high IP-hash count: 16
0002e6b8bc4b4354ad355a2b6bc31f3c,Ford Pinto,PCVR,Ford Pinto,76561198121604095,,3,1,0,10,1,0,1,4,"player/profile unique_id mismatch; player/profile current_name mismatch; high IP-hash count: 10; network risk observations: proxy=1, vpn=0, hosting=1"
0002e6da779540e492897b5a239469c0,Patchie,PCVR,76561198304024853,76561199006633435,,1,1,0,3,0,0,0,1,player/profile unique_id mismatch
0002e84b634d487eb53af49bca3e42da,"""Bojangles""",PCVR,76561198413143610,76561198413143610,,5,1,0,18,0,0,0,1,high IP-hash count: 18
0002eb95ffa4468780bd9bd8d66e97f4,Cronterx,PCVR,76561198133010586,76561198133010586,,1,1,0,2,0,0,0,0,
0002ebaf21d44a869cf6cb0fd884d7b2,Zacharyw47,PCVR,76561198845878696,76561198845878696,,1,1,0,8,0,0,0,0,
0002ec5c3045477494f5d121266a14a9,Bachewychomp,PCVR,76561199081079020,76561199081079020,,1,1,0,21,0,0,0,1,high IP-hash count: 21
0002ed12453e472b807cd10e4177a3a4,RayzorEdge,PCVR,76561198134231189,76561198134231189,,13,1,0,37,1,0,1,2,"high IP-hash count: 37; network risk observations: proxy=1, vpn=0, hosting=1"
0002ee068026403bb2940430a10c47a3,Waffles,PCVR,76561197976532471,76561197976532471,,3,1,0,39,0,0,1,2,"high IP-hash count: 39; network risk observations: proxy=0, vpn=0, hosting=1"
0002ee1b82454284b212b35737075aa0,mogami,PCVR,76561198368592679,76561198368592679,,2,1,0,9,0,0,0,0,
0002ee93a4bb47478b46e24fbf11c653,AGirlScout420,PCVR,76561199152750895,76561199152750895,,4,1,0,10,0,0,0,1,high IP-hash count: 10
0002f4b9a4bb45c59c55a8cf29e0d90d,Z1MMUK,PCVR,76561198956205766,76561198956205766,,5,1,0,47,1,0,2,2,"high IP-hash count: 47; network risk observations: proxy=1, vpn=0, hosting=2"
0002fc4a406b4bb78f5aa68544612d02,PIPUPINE,PCVR,76561198805194554,76561198805194554,,1,1,0,10,0,0,0,1,high IP-hash count: 10
0002fd80e0ef400290d3c2940b74ceac,germangarles,PCVR,76561198838312966,76561198838312966,,1,1,0,5,0,0,0,0,
